Institute,Country
U.S. Naval Observatory,United States
NASA Goddard Space Flight Center,United States
Takshashila Astronomy Club,Nepal
UCLA,United States
Harvard-Smithsonian Center for Astrophysics,United States
Universite de Montreal,Canada
National Solar Observatory,United States
Western Kentucky University,United States
NSF,
NCAR HAO,United States
European Southern Observatory,Germany
University of Surrey,United Kingdom
Space Telescope Science Institute,United States
KITV,
,
Indiana University Purdue University Fort Wayne,United States
INAF - Bologna Observatory,Italy
Carnegie Mellon University,United States
"Physics and Astronomy Dept, University of Canterbury",New Zealand
European Space Agency,Spain
Jet Propulsion Laboratory,United States
Bologna University and IRA--INAF,Italy
,
Univrsidad nacional de Tres de Febrero,Argentina
UNESP,Brazil
University of Delaware,United States
Swinburne University,Australia
University of Colorado,United States
IAS,United States
University of Michigan,United States
Korea Institute for Advanced Study,South Korea
Chandra X-ray Center,United States
"Jet Propulsion Laboratory, California Institute of Technology",United States
Faculty of Mathematics and Physics UL,Slovenia
Fundacion Imagen De Chile,Chile
"Instituto de Astronomia, UNAM",Mexico
"Valongo Observatory, Federal University of Rio de Janeiro",Brazil
Huazhong University of Science and Technology,China
Huazhong University of Science and Technology,China
,
Louisiana State University,United States
"Depto. Astronomia, Fac. Ciencias",Uruguay
University of Hawaii,United States
GMTO,
Third Planet,Ukraine
Space Telescope Science Institute,United States
"NVI Inc., NASA GSFC",United States
Caltech Jet Propulsion Laboratory,United States
University of New Mexico NRAO,United States
Space Telescope Science Institute,United States
Natioal Radio Astronomy Observatory,United States
Natioal Radio Astronomy Observatory,United States
"Anton Pannekoek Institute for Astronomy, Amsterdam",Netherlands
National Tsing Hua University,Taiwan
"Anthropological Institute, Nanzan University",Japan
ICRAR,
National Astronomical Observatory of Japan,Japan
University of Heidelberg,Germany
IAU Office of Astronomy for Development,South Africa
Colorado Mesa University,United States
IAU Office of Astronomy For Development,South Africa
University of Helsinki,Finland
INAF - Osservatorio Astronomico di Padova,Italy
New York University,United States
Planetary Science Institute,United States
East Asian Observatory,
University of Sydney,Australia
Steward Observatory,United States
UCL-MSSL,United Kingdom
The University of New South Wales,Australia
Princeton Univeristy,United States
Goddard Space Flight Center,United States
INAF - Osservatorio Astronomico di Padova,Italy
Universidade de Sao Paulo,Brazil
"Physics and Astronomy, University of British Columbia",Canada
University College London,United Kingdom
Dominion Astrophysical Observatory,Canada
University of Hawaii at Hilo,United States
Romanian Society for Meteors and Astronomy,Romania
University Valahia of Targoviste,Romania
California Institute of Technology,United States
"Dark Cosmology Centre, Niels Bohr Institute, University of Copenhagen",Denmark
"Kavli Institute for Cosmological Physics, University of Chicago",United States
Space Telescope Science Institute,United States
"Geneva Observatory, University of Geneva",Swaziland
Universita' di Pisa,Italy
European Southern Observatory,Germany
Jet Propulsion Laboratory,United States
CNRS - LESIA - Observatoire de Paris,France
Bennet Group Strategic Communications,
Australian National University,Australia
The Gruber Foundation,
U. Hawaii Institute for Astronomy,United States
Space Research Centre Polish Academy of Sciences,Poland
Yunnan Observatories,China
KITV,
University of Vienna,Austria
University of Wyoming,United States
NASA Headquarters,United States
Institut d Astrophysique Spatiale,France
Harvard,United States
CRAAM at Mackenzie University,Brazil
Villanova University,United States
Villanova University,United States
NASA GSFC -- UMD -- CRESST,United States
"Jet Propulsion Laboratory, California Institute of Technology",United States
Auckland University of Technology,New Zealand
"University of St Andrews, School of Mathematics and Statistics",United Kingdom
Space Telescope Science Institute,United States
"UCOLick Observatory, University of California, Santa Cruz",United States
Georgia State University,United States
Columbus State,United States
Joint Institute for VLBI in Europe,Netherlands
"Instituto de Astronomia, UNAM",Mexico
Los Alamos National Laboratory,United States
Canadian Astronomy Data Centre,Canada
Chalmers University of Technology,Sweden
PlaneWave Instruments,
Diablo Valley College,United States
University of Hawaii,United States
Wellesley College,United States
"Institute for Astronomy, University of Hawaii",United States
Columbia University,United States
College of Charleston,United States
NRAO,United States
Lowell Observatory,United States
University of Florida,United States
UCLan,United Kingdom
USRA SOFIA,United States
UH Hilo/PISCES,
AURA,
Cambridge University Press,
University of Tokyo,Japan
Korea Astronomy and Space Science Institute,South Korea
"Yunnan Observatories, Chinese Academy of Sciences",China
Wuhan University,China
Butler University,United States
Korea Astronomy and Space Science Institute (KASI),
Tata Institute of Fundamental Research,India
Chiba University,Japan
Kagoshima University,Japan
Kagoshima University,Japan
Queens University,Canada
National Institute of Standards and Technology,United States
"Landessternwarte, Heidelberg University",Germany
"Landessternwarte, Heidelberg University",Germany
University of Cincinnati,United States
Osaka Prefecture University,Japan
The George Washington University,United States
University College London,United Kingdom
University College London,United Kingdom
NASA SOFIA - SETI Institute,United States
US Naval Observatory,
"Princeton University, Department of Astrophysical Sciences",United States
Gemini Observatory,United States
CSIRO Australia Telescope National Facility,Australia
NASA Headquarters,United States
Nagoya University,Japan
"University of Hawaii, IfA",
Institut dAstrophysique Spatiale,France
LAM -- Laboratoire dAstrophysique de Marseille,France
National Astronomical Observatory of Japan,Japan
IMAPP - Radboud University,Netherlands
University of Washington,United States
"Subaru Telescope, NAOJ",United States
National Astronomical Observatory of Japan,Japan
"Kavli IPMU, The University of Tokyo",Japan
Stockholm University,Sweden
NASA - HW,United States
Jet Propulsion Laboratory,United States
Astronomy Magazine,United States
NASAs Goddard Space Flight Center,United States
University of Canterbury,New Zealand
"Associated Universities, Inc.",United States
PlaneWave Instruments,
,
University of Southern California,
University of Virginia and NRAO,United States
University of Virginia and NRAO,United States
Academy of Sciences,Czech Republic
Quest University Canada,Canada
"LLNL and Dr. Remeis-Sternwarte, ECAP, FAU",United States
Kapteyn Astronomical Institute,Netherlands
CaltechIPAC,United States
Brown University,United States
USRA - SOFIA,United States
Univ. of Texas Executive Committee Member,United States
University of Surrey,United Kingdom
"University of Glasgow, UK",
Until May 2015 Max-Planck-Institut fuer Radioastronomie,Germany
US Naval Observatory,United States
EDP Sciences,
RECONS,United States
Institute for Astronomy,United States
"Univ. of Vienna, Dept. of Astrophysics",Austria
University of Vienna,
NASA Ames Research Center,United States
Sejong University,South Korea
University of Florida,United States
NAOJ,Japan
NASA,United States
NRC Herzberg,Canada
IMCCE Paris Observatory CNRS,France
UFABC - Universidade Federal do ABC,Brazil
Loyola University Maryland,United States
Dartmouth College,United States
University of Alaska Anchorage,United States
National Astronomical Observatory of Japan,Japan
Cranbrook Educational Community,United States
Cambridge University Press,
"Observatorio Astronomico Nacional, Universidad Nacional de Colombia",Colombia
International Astrostatistics Association,United States
Max Planck Institute for Solar System Research,Germany
European Southern Observatory,Germany
Haverford College,United States
"Laboratoire Lagrange, Observatoire de la Cote dAzur",France
The Open University,United Kingdom
California Institute of Technology,United States
University of Pittsburgh,United States
US Naval Observatory,United States
Northern Arizona University,United States
University of Colorado at Boulder,United States
The University of Tokyo,Japan
KHON 2 NEWS,
Tokyo Institute of Technology,Japan
CNRS-IAP,France
East Asian Observatory,United States
University of Southampton,United Kingdom
UTRC,United States
UH Institute for Astronomy,
"University of Hawaii, Institute for Astronomy",United States
"Institute of Theoretical Astrophysics, University of Oslo",Norway
Leiden Observatory,Netherlands
Stanford University,United States
"NASA-Ames, SETI",United States
Leiden University,Netherlands
HM Nautical Almanac Office,United Kingdom
NUU & UBAI,Uzbekistan
UH Maui College,United States
University of the Western Cape,South Africa
University College London,United Kingdom
Vanderbilt University,United States
CSIRO Astronomy and Space Science,Australia
Smithsonian Astrophysical Observatory,United States
Princeton University Library,United States
Leiden Observatory,Netherlands
MIT Kavli Institute for Astrophysics and Space Research,United States
Kanagawa University,Japan
Korea Astronomy and Space Science Institute,South Korea
QHYCCD,China
Australian Astronomical Observatory,Australia
Caltech,United States
Harvard-Smithsonian Center for Astrophysics,United States
PE Third Planet,Ukraine
NASA GSFC,United States
University of Colorado Boulder,United States
"Institute for Astronomy, University of Hawaii",United States
NICT,Japan
NICT,Japan
SAO,United States
"Institute for Astronomy, Univ. of Hawaii",United States
Hawaii News Now,
Hawaii News Now,
"LCOGT, UC Santa Barbara",United States
SAO,United States
The Gruber Foundation,
"Department of Physics, University of Hong Kong,",China
Academia Sinica Institute of Astronomy and Astrophysics,Taiwan
National Tsing Hua University,Taiwan
NASA ASD,United States
"IfA, University of Hawaii",United States
Peking University,China
"Institute for Astronomy, Univ. of Hawaii",United States
Jet Propulsion Laboratory,United States
Shanghai Jiao Tong University,China
Shanghai Astron. Obs.,China
SETI Institute and NASA Ames Research Center,United States
"Shanghai Astronomical Observatory, Chinese Academy of Sciences",China
"Shanghai Astronomical Observatory, CAS",China
Princeton University,United States
"Graduated Institute of Astronomy, National Central University, Taiwan(R.O.C.)",Taiwan
University of Sydney,Australia
"University of Hawaii, Institute for Astronomy",United States
Paris Observatory,France
IRAP,France
Wesleyan University,United States
NASA,
Association of Universities for Research in Astronomy,United States
Lawrence Livermore National Lab,United States
"National Astronomical Observatories, Chinese Academy of Sciences",China
Hawaii News Now,
IAS,France
Honolulu Star,
IOP Publishing,United Kingdom
Korea Institute for Advanced Study,South Korea
"Kyungpook National University, Dept. of Astronomy and Atmospheric Sciences",South Korea
Korea Astronomy and Space Science Institute,South Korea
National Institute for Mathematical Sciences,South Korea
Institute of Astrophysics,Tajikistan
Nagoya University,Japan
University of Tsukuba,Japan
Governor,
Institut de Ciencies de l'Espai,Spain
St. Petersburg State University,Russia
Laboratoire d Astrophysique de Marseille,France
Stanford University,United States
"University of Virginia, NRAO, ALMA",United States
Caltech,United States
Texas Christian University,United States
Andor,
"Osaka Sangyo University, College of General Education",Japan
Meisei University,Japan
Osaka University,Japan
National Astronomical Institute of Thailand,Thailand
Nagoya University,Japan
National Astronomical Observatory of Japan,Japan
Open University,United Kingdom
LATMOS CNRS,France
University of Massachusetts Amherst,United States
University of Massachusetts Amherst,United States
University of Massachusetts Amherst,United States
Rice University,United States
Becker Communications,
National Astronomical Observatory of Japan,Japan
KITV,
Chiba University,Japan
SKA Organisation,
,
INAF - Rome Astronomical Observatory,Italy
Technion - Israel Institute of Technology,Israel
American Institute of Physics,United States
Tokyo Institute of Technology,Japan
,
ICREA and Universitat de Barcelona,Spain
Universidad Complutense de Madrid,Spain
Stockholm University,Sweden
EPFL,Switzerland
Boise State University,United States
ICRAR - Curtin University,Australia
Fiat Physica,United States
KITV,
JPL,United States
Jet Propulsion Laboratory,United States
Universtat Bayreuth,Germany
GMT,United States
LSST,United States
Oxford University Press,United Kingdom
University of Maryland,United States
Seoul National University,South Korea
Smith College,United States
"Instituto de Astronomia, Geofisica e Ciencias Atmosfericas IAGUSP",Brazil
"CSIRO Astronomy Space Sceience Associate and Visiting Fellow RSAA, ANU",Australia
Durham University - ICC,United Kingdom
University of Hawaii,United States
Keck Observatory,United States
Armagh Observatory,United Kingdom
Institute for Astronomy,
NASA Ames Research Center,United States
IOP Publishing,
SETI Institute - NASA Ames,United States
University of Nebraska-Kearney,United States
Korea Astronomy and Space Science Institute (KASI),
National Radio Astronomy Observatory,United States
"Purple Mountain Observatory, CAS",China
"Xinjiang Astronomical Observatory, Chinese Academy of Sciences",China
"Department of Physics, Guangzhou University",China
National Tsing Hua University,Taiwan
"National Astronomical Observatories, Chinese Academy of Sciences",China
"Caltech, Nanjing University",United States
"Kavli Institute for Astronomy and Astrophysics, Peking University",China
Purple Mountain Observatory,China
"Purple Mountain Observatory, CAS",China
"Yunnan Observatories, Chinese Academy of Sciences",China
National Tsing Hua University,Taiwan
Kapteyn Astronomical Institute,Netherlands
Kapteyn Astronomical Institute,Netherlands
"Department of Physics and Astronomy, Shanghai Jiao Tong University",China
Space Telescope Science Institute,United States
Korea Astronomy and Space Science Institute,South Korea
NASA HQ,United States
Gettysburg College,United States
University of Virginia,United States
Harvard-Smithsonian Center for Astrophysics,United States
"California State University, Fullerton",United States
University of Michigan,United States
"California State University, Fullerton",
NASA AMES,United States
Columbia University,United States
US Naval Observatory Retired,United States
US Naval Observatory Retired,United States
Universite Laval,Canada
University of New South Wales,Australia
Smithsonian Astrophysical Observatory,United States
University of Hertfordshire,United Kingdom
Institut dAstrophysique Spatiale,France
University of Washington,United States
UC Santa Barbara,United States
University of Hawaii at Hilo,United States
Pennsylvania State University,United States
"Instituto de Astrofisica, PUC",Chile
New Mexico Tech,United States
Gemini Observatory,United States
"Niels Bohr Institute, University of Copenhagen",Denmark
SPARC,United States
National Radio Astronomy Observatory,United States
Laboratoire dAstrophysique de Marseille,France
University of Washington,United States
Mbarara University of Science and Technology,Uganda
Jagiellonian University,Poland
University of Bern,Switzerland
University of Iowa,United States
SRON Netherlands Institute for Space Research,Netherlands
University of Alaska Anchorage,United States
AAVSO,United States
OIWI TV,
New Mexico State University,United States
National Astronomical Observatory of Japan Executive Committee Member,Japan
Max-Planck-Institute for Astronomy,Germany
University of Hawaii,United States
"Subaru Telescope, NAOJ",
University of Alberta,Canada
Space Telescope Science Institute,United States
University of Ege,Turkey
University of Wisconsin Oshkosh,United States
Carl Sagan Institute Cornell,United States
Anthology,
Tokyo University of Science,Japan
"University of Arizona, Steward Observatory",United States
W. M. Keck Observatory,United States
"ILTS, Hokkaido University",Japan
Institute of Astronomy of the Russian Academy of Sciences (INASAN),Russia
Pusan National University,South Korea
Korea Astronomy and Space Science Institute,South Korea
"Yunnan Observatories, Chinese Academy of Sciences",China
KOHN 2 News,
Anton Pannekoek Institute Amsterdam,Netherlands
U.S. Naval Observatory (contractor),United States
Indian Institute of Astrophysics (Retd.),India
Australian National University,Australia
Space Telescope Science Institute,United States
George Washington University,United States
Hewlett Packard,
Naval Research Laboratory,United States
Keck Observatory,United States
University of tsukuba,Japan
"Institute of Astronomy, University of Cambridge",United Kingdom
Max-Planck-Institut for Radioastronomy,Germany
The University of Western Australia,Australia
Finnish Meteorological Institute,Finland
Mahatma Gandhi University,India
University of Hertfordshire,United Kingdom
University of Hawaii Press,
Koyama Astronomical Observatory,Japan
Iowa State University,United States
National Astronomical Observatory of Japan,Japan
"Barnard College, Columbia University",United States
Institute for Astronomy - Univ. of Hawaii,United States
SKA Organisation,
,
The Gruber Foundation,
Associated Press,
KWAI 1080 The Morning Show,
National Radio Astronomy Observatory,United States
National Radio Astronomy Observatory,United States
University of California Berkeley,United States
Viberpoint International Ltd.,Togo
University College London,United Kingdom
Inter-University Centre for Astronomy and Astrophysics,India
Yale University,United States
NRAO,United States
National Radio Astronomy Observatory,United States
Australian National University,Australia
"Hamburg Observatory, Hamburg University",Germany
IST Islamabed,
Springer-Verlag GmbH,Germany
Institute for Astronomy- NASA Infrared Telescope Facility,United States
Beijing Normal University,China
School of Astronomy (IPM),Iran
OIWI TV,
European Space Agency,
NASA JPL,United States
Kinki University,Japan
Kinki University,Japan
Vatican Observatory,United States
Swinburne University of Technology,Australia
Liden University Executive Committee Member,Netherlands
"Physics and Astronomy Dept, University of Canterbury",New Zealand
Kyung Hee University,South Korea
Smithsonian Astrophysical Observatory,United States
Seoul National University,South Korea
Penn State Worthington Scranton,United States
Princeton University,United States
Korea Institute for Advanced Study,South Korea
Korea Astronomy and Space Science Institute,South Korea
Korea Astronomy and Space Science Institute,South Korea
Australian National University,Australia
Kyung Hee University,South Korea
Seoul National University,South Korea
Kyung Hee University,South Korea
Kyung Hee University,South Korea
Korean Astronomical Society,South Korea
W.M. Keck Observatory,United States
Harvard-Smithsonian Center for Astrophysics,United States
Univ. of California Berkeley Executive Committee Member,
University of Tsukuba,Japan
Max-Planck Institute for Nuclear Physics,Germany
"MTA CSFK, Konkoly Observatory",Hungary
Gemini Observatory,United States
NASA Ames Research Center,United States
Max-Planck-Institute for Astronomy,Germany
Space Telescope Science Institute,United States
SOFIA USRA (NASA Ames),United States
Kutztown University of Pennsylvania,United States
Gemini Observatory,United States
FHNW,Switzerland
"Institute for Astronomy, UH Manoa",United States
The George Washington University,United States
Technische Univ. Dresden Executive Committee Member,Germany
,
Instituto de Astrofísica de Canarias,Spain
National Science Foundation,United States
Atronomical Observatory,Serbia
"Institute of Astronomy, National Central University",Taiwan
Korea Astronomy and Space Science Institute,South Korea
University of Hertfordshire,United Kingdom
Klet Observatory,Czech Republic
"Panjab University Mathematics Department, Chandigarh160014",India
Uppsala University,Sweden
Stony Brook University,United States
Space Telescope Science Institute,United States
UH Manoa,United States
American Astronomical Society,United States
The University of Tokyo,Japan
Carnegie Observatories,United States
MPA (Max Planck Institute for Astrophysics),Germany
Kharkov National University of Radio electronics,Ukraine
"University of Tokyo, Research Center for the Early Universe",Japan
National Astronomical Observatory of Japan,
Max-Planck-Institut fuer Radioastronomie,Germany
Kogakuin University,Japan
"Department of Astronomy, USTC",China
Hebei Normal University,China
University of Glasgow,
"Lab. AIM, Paris-Saclay, CEA-Saclay",France
"UC ObservatoryLick, University of California, Santa Cruz",United States
Seoul National University,South Korea
University of Cambridge,United Kingdom
Univ. of Colorado LASP,United States
"Leibniz Institute for Astronomy, Potsdam (AIP)",Germany
Finnish Centre for Astronomy with ESO (FINCA),Finland
University of Agriculture in Krakow,Poland
VNIIFTRI,Russia
New Jersey Institute of Technology,United States
University of Pittsburgh,United States
Fukuoka University,Japan
George Washington University,United States
Chukyo University,Japan
"Paris Observatory, IMCCE-LESIA, CNRS",France
University of Maryland College Park and NASA GSFC,United States
University of Cape Town Executive Committee Member,South Africa
The Gruber Foundation,
Max Planck Institute for Radio Astronomy,Germany
Max Planck Institute for Radio Astronomy,Germany
JPL,United States
Sternwarte Suhl,Germany
Astronomical Institute of the Charles University in Prague,Czech Republic
Caltech,United States
Space Telescope Science Institute,United States
Harvard-Smithsonian Center for Astrophysics,United States
"Astrophysical Institute, Friedrich Schiller University Jena",Germany
Max Planck Institute for Solar System Research,Germany
Leibniz-Institute for Astrophysics Potsdam,Germany
Space Research Institute Moscow,Russia
Astronomical Institute Slovak Academy of Sciences,Slovakia
Columbia University,United States
UH Institute for Astronomy,
"Millennium Institute for Astrophysics (MAS) and Dept. Astronomia, Univ. de Chile",Chile
KITV,
Tuskan LLC,
Smithsonian Astrophysical Observatory,United States
The University of Tokyo,Japan
Nagoya City University,Japan
Ulsan National Institute of Science and Technology (UNIST),South Korea
The University of Hong Kong,China
Korea Astronomy and Space Science Institute,South Korea
Leiden University,Netherlands
Hofstra University,United States
"Instituto de Astronomia, Pontificia Universidad Catolica de Chile",Chile
AIM - CEA Saclay,France
Laboratoire d Astrophysique de Marseille,France
"CEA Saclay, UMR AIM",France
School of Physics and Astronomy - University of Birmingham -,United Kingdom
"CRAL, Observatoire de Lyon",France
Space Telescope Science Institute,United States
Centre for Astrophysics University of Porto,PORTUGAL
Institute of Astronomy,Taiwan
Cornell University,United States
Gemini/Subaru Observatory,
Spitzer Science Center Caltech,United States
Space Telescope Science Institute,United States
University of Utah,United States
The University of Hong Kong,Hong Kong
Yale University,United States
European Space Agency,Spain
Louisiana State University,United States
University of Western Ontario,Canada
Universidad de Concepcion,Chile
Universidad de Concepcion,Chile
"The National Academies of Sciences, Engineering and Medicine",United States
National Science Foundation,United States
Columbia University,United States
"Insitute of Astronomy, UNAM",Mexico
European Southern Observatory,Germany
"Department of AstrophysicsIMAPP, Radboud University",Netherlands
University of Arizona,United States
"University of Hawaii, Institute for Astronomy",United States
"University of Texas at Austin, Department of Astronomy",United States
University of Hawaii President,
Harvard-Smithsonian Center for Astrophysics,United States
University of Wisconsin-Madison,United States
University of Wisconsin-Madison,United States
"Cornell, JPL",United States
Caltech,
Khon 2 News,
CNRS Institut dAstrophysique de Paris,France
University of North Carolina at Chapel Hill,United States
"Penn State University, Brandywine",United States
Hofstra University,United States
Space Telescope Science Institute,United States
Canada-France-Hawaii Telescope,
University of Nebraska - Kearney,United States
"Jet Propulsion Laboratory, California Institute of Technology",United States
Observatorio Nacional,Brazil
Observatorio Nacional,Brazil
"ICG, University of Portsmouth",United Kingdom
Laboratoire dAstrophysique de Marseille,France
"Service d Astrophysique, CEA Saclay",France
IAS-CNRS-UPS,France
University of Manchester,United Kingdom
US Naval Research Lab.,United States
Oxford University Press,
IAP-CNRS,France
Sejong University,South Korea
Catholic University of Daegu,South Korea
"St. Cloud State University, Native Skywatchers",United States
Bennet Group Strategic Communications,
Korea Astronomy and Space Science Institute,South Korea
Korea Astronomy and Space Science Institute,South Korea
Seoul National University,South Korea
Korea Astronomy and Space Science Institute,South Korea
Yonsei University,South Korea
Korea Astronomy and Space Science Institute,South Korea
"Seoul National University, Department of Physics and Astronomy",South Korea
Western Kentucky University,United States
KHU(previous),South Korea
Yonsei University Observatory,South Korea
Concord Consortium,United States
Space Telescope Science Institute,United States
Korea Astronomy and Space Science Institute,South Korea
Kyung Hee University,South Korea
Seoul National University,South Korea
"Shanghai Astronomical Observatory, CAS",China
Smithsonian Astrophysical Observatory,United States
Kyung Hee University,South Korea
"The University of Tokyo, NAOJ",Japan
The Korean Astronomical Society,
Korea Astronomy and Space Science Institute (KASI),
Kyung Hee University,
Tartu Observatory,Estonia
Tartu Observatory,Estonia
University of South Africa,South Africa
CNRS IPAG,France
Gemini Observatory,United States
Macquarie University,Australia
University of Notre Dame,United States
National Science Foundation,United States
National Solar Observatory,United States
Space Telescope Science Institute,United States
Space Telescope Science Institute,United States
Weizmann Institute of Science,Israel
University of Namur - Center naXys,Belgium
University of Namur - Center naXys,Belgium
Institute of Physics University of Graz,Austria
Texas AM University,United States
Gemini Observatory,United States
San Diego State University,United States
Hawaii Business Magazine,United States
Universidade de Sao Paulo,Brazil
UC Berkeley Space Sciences Laboratory,United States
Ohio State University,United States
University of Nebraska,United States
University of Hong Kong,Hong Kong
UPMC (Sorbonne Univ.) LATMOS,France
Gemini Observatory,Chile
University of Colorado at Boulder,United States
"Associated Universities, Inc.",United States
Tel Aviv University,Israel
"LERMA LRA, ENS Paris, Observatoire de Paris, UPMC",France
W. M. Keck Observatory,
EWTN,
European Space Agency (ESA),Spain
Korea Institute for Advanced Study,South Korea
"National Astronomical Observatories, Chinese Academy of Sciences",China
Purple Mountain Observatory,China
"Department of Space Science and Astronomy, Hebei Normal University",China
"Department of Astronomy, Beijing Normal University",China
"Yunnan Astronomocal Observatory, Chinese Academy of Sciences",China
National Astronomical Observatories,China
"National Astronomical Observatories, Chinese Academy of Sciences",China
Nanjing University,China
"School of Astronomy and Space Science, Nanjing University",China
SETI Institute and NASA Ames Research Center,United States
"Astronomy Department, University of California at Berkeley",United States
"National Astronomical Observatories, Chinese Academy of Sciences",China
University of Virginia,United States
Harvard University,United States
University of Arizona,United States
Shanghai Jiao Tong University,China
"Institute for Astronomy, University of Hawaii at Manoa",United States
"Department of Space Science and Astronomy, Hebei Normal University",China
"National Astronomical Observatories, Chinese Academy of Sciences",China
"National Astronomical Observatories, Chinese Academy of Sci",China
"National Astronomical Observatories, Chinese Academy of Sciences (NAOC)",China
Guangxi University,China
NASA Headquarters,United States
Lillie Consulting LLC,United States
University of Hong Kong,Hong Kong
Korea Astronomy and Space Science Institute,South Korea
"Peking University, China",China
Kyung Hee University,South Korea
"Peking University, China",China
"Instituto de Astronomia, Geofisica e Ciencias Atmosfericas, IAG USP",Brazil
INAF-OAR,Italy
ASIAA,Taiwan
Shanghai Science & Technology Museum,China
Shanghai Astronomical Observatory,China
Uppsala University,Sweden
NASA Goddard Space Flight Center,United States
U.S. Department of Energy,United States
Onsala Space Observatory,Sweden
Australian National University,Australia
"Leiden Observatory, University of Leiden",Netherlands
University of Colorado,United States
Ball Aerospace and Technologies Corp,United States
LERMA - Caltech,United States
Observatoire de la Cote d Azur,France
Las Cumbres Observatory (LCOGT),United States
National Radio Astronomy Observatory,United States
University of Hawaii Press,
Academia Sinica Institute of Astronomy and Astrophysics,Taiwan
"City University of New York, College of Staten Island",United States
Kavli Inst. for Astronomy & Astrophysics Executive Committee Members,China
"National Astronomical Observatories, Chinese Academy of Sciences",China
"National Astronomical Observatories, Chinese Academy of Sciences",China
Yunnan Astronomical Observatories,China
Institute of High Energy Physics (CAS),China
"National Astronomical Observatories, CAS",China
"Center for Theoretical Physics and Astrophysics, Shenyang Normal University",China
China Three Gorges University,China
Nanjing University,China
Nanjing University,China
"Xinjiang Astronomical Observatory, CAS",China
"Department of Astronomy, Beijing Normal University",China
Korea astronomy and space science institute,South Korea
UCLA,United States
University of Maryland,United States
Nanjing University,China
NASA Goddard Space Flight Center,United States
University of Texas at Austin,United States
University of Chile,Chile
NRAO,United States
Institute for Astronomy,United States
National Radio Astronomy Observatory,United States
National Radio Astronomy Observatory,United States
University of Milano,Italy
University of Hertfordshire,United Kingdom
,
University College London,United Kingdom
Max Planck Institute for extraterrestrial Physics (MPE),Germany
,United States
Jet Propulsion Laboratory (JPL),United States
CONICET-UBA,Argentina
Institut de Fisica dAltes Energies - IFAE,Spain
Marquette University,United States
Marquette University,United States
ESA ESAC,Spain
Cornell University,United States
German Public Radio,Germany
STSci,United States
Caltech,United States
University of Colorado-Boulder,United States
"IfA, University of Hawaii",United States
"Department of Astronomy, Beijing Normal University",China
Shanghai Astronomical Observatory,China
Leiden Observatory Sterrewacht Leiden,Netherlands
"University of California, Santa Barbara",
Hofstra University,United States
European Space Agency (ESA),Netherlands
University of New Hampshire,United States
"Space Sciences Laboratory, University of California, Berkeley",United States
Bennet Group Strategic Communications,
"University of Hawaii, Institute for Astronomy",United States
Civil Beat,
Vanderbilt University,United States
University of Alabama in Huntsville,United States
University of Alabama in Huntsville,United States
National Astronomical Observatories of China,China
,Ukraine
US Naval Observatory,United States
National Radio Astronomy Observatory,
Arizona State University,United States
Ball Aerospace,
NASA Goddard Space Flight Center,United States
"Purple Mountain Observatory, CAS",China
China University of Petroleum,China
American Museum of Natural History,United States
Instituto de Astrofisica de Canarias (IAC),Spain
Astronomical Consultants and Equipment Inc.,United States
Space Telescope Science Institute,United States
"CEA, Saclay, SAp",France
UC Berkeley,United States
IAC,Spain
Carnegie Observatories,United States
ESO,Germany
ESO,Germany
NASA Goddard Space Flight Center,United States
"Okayama Astrophysical Observatory, NAOJ, NINS",Japan
IfA,United States
The Pennsylvania State University,United States
CRAL,France
Institut dAstrophysique de Paris,France
Jet Propulsion Laboratory,United States
"JPL, Caltech",United States
"Kavli Institute for Cosmology, Cambridge (KICC)",United Kingdom
US Naval Observatory,United States
,
Florida State University,United States
University of Rochester,United States
European Southern Observatory,Germany
CSIRO,Australia
The Hebrew University of Jerusalem,Israel
Institut dAstrophysique Spatiale (IAS),France
"PE ""Third Planet""",UKRAINE
EISCAT Scientific Association,Sweden
NASA SMD SEPOF,United States
Canada-France-Hawaii Telescope Corporation,United States
University of A Coruna,Spain
University of Michigan,United States
NAOC-TSINGHUA,China
ESA ESAC,Spain
"Institute of Cosmology and Gravitation, University of Portsmouth",United Kingdom
The Open University,United Kingdom
Southwest Research Institute,United States
UNIVERSITY OF ALICANTE,Spain
Monash University,Australia
"University of California, Los Angeles",United States
KITV,
Ushuaia TV,
"Department of Physics and Astronomy, University of Padova",Italy
UNESCO Executive Committee Member,
Research School of Astronomy Astrophysics,Australia
NASA Goddard Space Flight Center,United States
National Research Council of Canada Herzberg,Canada
American Astronomical Society,United States
MIT Kavli Institute,United States
California Institute of Technology,United States
The Kavli Foundation,United States
Joint Alma Observatory,Chile
Helio Research,United States
IA-UNAM,Mexico
Santiago Canyon College,United States
Imperial College London,United Kingdom
LNA - MCTI,Brazil
Konkoly Observatory,Hungary
American Astronomical Society,United States
"UW-Wisconsin Milwaukee, dept. Physics",United States
"UW-Wisconsin Milwaukee, dept. Physics",United States
"Institute of Astronomy, Russian Academy of Sciences",Russia
NASA Jet Propulsion Laboratory,United States
US Naval Observatory,United States
New Mexico State University-DACC,United States
"University of California, Santa Barbara",United States
ICG University of Portsmouth,United Kingdom
The University of Tokyo,Japan
EDP Sciences,France
University of Hawaii at Manoa,United States
European Southern Observatory,Chile
AIP,Germany
US Naval Observatory,United States
Bennet Group Strategic Communications,
"Graduate School of Science, Kobe University",Japan
